20.000000	51.641	-60.725
20.660965	52.709	-51.875
21.343773	53.804	-42.724
22.049149	54.910	-33.264
22.777834	56.039	-23.467
23.530602	57.194	-13.306
24.308247	58.373	-2.757
25.111591	59.583	8.218
25.941486	60.827	19.660
26.798807	62.102	31.612
27.684460	63.415	44.134
28.599382	64.767	57.300
29.544542	66.163	71.200
30.520939	67.601	85.942
31.529602	69.079	101.667
32.571598	70.590	118.548
33.648033	72.116	136.785
34.760044	73.631	156.607
35.908802	75.075	178.171
37.095524	76.378	-158.477
38.321465	77.453	-133.561
39.587925	78.236	-107.614
40.896236	78.714	-81.398
42.247784	78.937	-55.556
43.644001	78.989	-30.438
45.086357	78.952	-6.078
46.576382	78.887	17.686
48.115650	78.833	41.086
49.705788	78.813	64.345
51.348476	78.836	87.674
53.045456	78.907	111.253
54.798515	79.024	135.235
56.609509	79.183	159.759
58.480354	79.379	-175.061
60.413029	79.605	-149.121
62.409573	79.851	-122.330
64.472099	80.106	-94.610
66.602791	80.360	-65.898
68.803894	80.597	-36.157
71.077744	80.804	-5.361
73.426743	80.968	26.473
75.853363	81.077	59.317
78.360184	81.124	93.119
80.949852	81.106	127.812
83.625107	81.024	163.332
86.388763	80.885	-160.369
89.243767	80.698	-123.316
92.193115	80.472	-85.505
95.239937	80.219	-46.917
98.387451	79.949	-7.509
101.638985	79.669	32.784
104.997971	79.386	74.027
108.467972	79.103	116.295
112.052650	78.825	159.668
115.755791	78.552	-155.780
119.581314	78.286	-109.971
123.533272	78.027	-62.835
127.615829	77.775	-14.301
131.833313	77.532	35.694
136.190170	77.300	87.217
140.691010	77.083	140.324
145.340607	76.893	-164.920
150.143860	76.744	-108.442
155.105850	76.666	-50.139
160.231827	76.710	10.157
165.527206	76.954	72.804
170.997589	77.541	138.569
176.648773	78.692	-150.596
182.486694	80.603	-69.024
188.517563	81.880	35.754
194.747742	78.502	147.825
201.183807	73.831	-118.821
207.832581	70.368	-31.925
214.701080	68.260	56.040
221.796585	67.422	146.842
229.126572	67.652	-120.068
236.698807	68.634	-25.398
244.521286	70.056	70.908
252.602280	71.707	169.421
260.950348	73.468	-89.099
269.574310	75.265	16.181
278.483246	77.022	126.141
287.686646	78.618	-118.352
297.194183	79.841	3.199
307.015930	80.434	130.374
317.162262	80.194	-97.968
327.643921	78.781	36.915
338.471985	75.409	166.671
349.657898	73.328	-86.880
361.213470	75.043	33.336
373.150940	76.452	170.391
385.482941	77.294	-44.920
398.222473	78.016	110.184
411.383026	75.826	-82.271
424.978516	72.830	49.848
439.023315	74.930	-161.169
453.532257	76.297	6.796
468.520721	76.639	-178.352
484.004486	77.058	1.032
500.000000	77.455	-170.124
