20.000000	76.936	110.739
20.660965	77.746	113.291
21.343773	78.586	115.959
22.049149	79.450	118.747
22.777834	80.342	121.674
23.530602	81.267	124.758
24.308247	82.224	128.020
25.111591	83.220	131.488
25.941486	84.255	135.194
26.798807	85.331	139.172
27.684460	86.450	143.474
28.599382	87.617	148.163
29.544542	88.834	153.324
30.520939	90.098	159.049
31.529602	91.411	165.472
32.571598	92.763	172.759
33.648033	94.137	-178.908
34.760044	95.503	-169.308
35.908802	96.808	-158.291
37.095524	97.974	-145.833
38.321465	98.920	-132.162
39.587925	99.578	-117.822
40.896236	99.936	-103.606
42.247784	100.044	-90.149
43.644001	99.985	-77.825
45.086357	99.842	-66.681
46.576382	99.674	-56.565
48.115650	99.521	-47.275
49.705788	99.405	-38.590
51.348476	99.336	-30.325
53.045456	99.316	-22.311
54.798515	99.346	-14.413
56.609509	99.421	-6.515
58.480354	99.534	1.479
60.413029	99.679	9.655
62.409573	99.846	18.080
64.472099	100.025	26.816
66.602791	100.203	35.899
68.803894	100.366	45.346
71.077744	100.501	55.159
73.426743	100.595	65.295
75.853363	100.636	75.706
78.360184	100.616	86.309
80.949852	100.534	97.014
83.625107	100.390	107.730
86.388763	100.192	118.380
89.243767	99.948	128.914
92.193115	99.670	139.303
95.239937	99.369	149.542
98.387451	99.055	159.640
101.638985	98.736	169.632
104.997971	98.420	179.554
108.467972	98.111	-170.553
112.052650	97.812	-160.643
115.755791	97.527	-150.675
119.581314	97.256	-140.608
123.533272	97.002	-130.407
127.615829	96.765	-120.046
131.833313	96.547	-109.501
136.190170	96.350	-98.754
140.691010	96.183	-87.803
145.340607	96.054	-76.646
150.143860	95.983	-65.282
155.105850	96.002	-53.705
160.231827	96.167	-41.858
165.527206	96.566	-29.542
170.997589	97.357	-16.172
176.648773	98.787	0.019
182.486694	101.087	24.487
188.517563	102.897	69.588
194.747742	100.191	119.382
201.183807	96.252	147.807
207.832581	93.403	166.946
214.701080	91.556	-175.635
221.796585	90.459	-157.370
229.126572	89.949	-137.475
236.698807	89.929	-115.901
244.521286	90.328	-92.843
252.602280	91.081	-68.513
260.950348	92.119	-42.955
269.574310	93.359	-15.936
278.483246	94.694	13.058
287.686646	95.958	44.676
297.194183	96.891	79.278
307.015930	97.171	116.306
317.162262	96.478	154.257
327.643921	94.226	-169.862
338.471985	89.942	-154.824
349.657898	91.250	-160.840
361.213470	93.848	-136.870
373.150940	95.131	-106.623
385.482941	95.869	-75.790
398.222473	96.652	-40.182
411.383026	94.924	3.431
424.978516	92.191	11.541
439.023315	94.451	27.060
453.532257	96.752	58.403
468.520721	98.064	97.522
484.004486	98.885	138.669
500.000000	99.203	-176.292
