* Measurement data measured by REW V5.31.2
* Source: EXCL: Analogue 1 + 2 (Focusrite USB Audio), LINE_IN (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 19, 2025 4:46:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: sublevel
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
87.858289	92.341	163.8731
88.494946	92.346	164.8715
89.136217	92.366	165.8281
89.782135	92.397	166.7451
90.432733	92.437	167.6440
91.088046	92.479	168.5487
91.748108	92.520	169.4596
92.412952	92.560	170.3518
93.082615	92.598	171.2070
93.757130	92.631	172.0393
94.436533	92.650	172.8906
95.120859	92.646	173.7981
95.810144	92.620	174.7786
96.504423	92.580	175.8471
97.203734	92.542	177.0304
97.908112	92.522	178.3302
98.617595	92.531	179.6780
99.332219	92.569	-179.0408
100.052021	92.623	-177.9221
100.777039	92.677	-176.9988
101.507311	92.716	-176.2333
102.242875	92.734	-175.5614
102.983769	92.729	-174.9153
103.730032	92.705	-174.2525
104.481702	92.665	-173.5807
105.238820	92.609	-172.9235
106.001424	92.531	-172.2702
106.769554	92.423	-171.5422
107.543250	92.287	-170.6073
108.322553	92.135	-169.3558
109.107503	91.989	-167.7726
109.898141	91.873	-165.9596
110.694508	91.798	-164.0998
111.496646	91.759	-162.3871
112.304596	91.737	-160.9363
113.118402	91.704	-159.7432
113.938104	91.646	-158.6994
114.763747	91.559	-157.6374
115.595372	91.457	-156.4139
116.433024	91.355	-154.9720
117.276746	91.264	-153.3464
118.126581	91.186	-151.6183
118.982575	91.117	-149.8732
119.844772	91.049	-148.1768
120.713217	90.972	-146.5777
121.587954	90.882	-145.0683
122.469031	90.778	-143.6047
123.356492	90.666	-142.1282
124.250384	90.554	-140.5769
125.150753	90.451	-138.9016
126.057647	90.364	-137.0838
126.971113	90.292	-135.1288
127.891198	90.230	-133.0538
128.817950	90.171	-130.9042
129.751418	90.114	-128.7770
130.691651	90.061	-126.7719
131.638696	90.013	-124.9352
132.592604	89.968	-123.2321
133.553425	89.922	-121.5950
134.521208	89.869	-119.9464
135.496004	89.806	-118.2219
136.477864	89.741	-116.4139
137.466839	89.680	-114.5770
138.462981	89.627	-112.7656
139.466340	89.582	-110.9838
140.476971	89.549	-109.2263
141.494925	89.535	-107.5498
142.520256	89.537	-106.0767
143.553016	89.535	-104.9233
144.593260	89.501	-104.0898
145.641043	89.418	-103.4252
146.696418	89.291	-102.6928
147.759441	89.149	-101.7064
148.830166	89.031	-100.4714
149.908651	88.959	-99.2249
150.994951	88.917	-98.3000
152.089123	88.856	-97.9109
153.191223	88.727	-98.0513
154.301310	88.504	-98.5243
155.419441	88.193	-99.0918
156.545674	87.815	-99.5995
157.680069	87.386	-100.0236
158.822683	86.903	-100.3951
159.973578	86.356	-100.7005
161.132813	85.731	-100.8569
162.300447	85.025	-100.7266
163.476543	84.233	-100.1660
164.661162	83.356	-99.0021
165.854364	82.393	-97.0673
167.056213	81.355	-94.2093
168.266772	80.273	-90.3356
169.486102	79.196	-85.4489
170.714268	78.176	-79.6783
171.951334	77.244	-73.0895
173.197364	76.441	-65.4005
174.452424	75.872	-56.3202
175.716578	75.688	-46.4259
176.989893	75.950	-37.4281
178.272434	76.535	-30.9609
179.564270	77.238	-27.4241
180.865467	77.907	-26.2807
182.176092	78.448	-26.7563
183.496216	78.806	-28.1382
184.825905	78.946	-29.7871
186.165229	78.860	-31.2648
187.514259	78.552	-32.4407
188.873065	78.029	-33.3727
190.241717	77.300	-34.0859
191.620287	76.408	-34.5531
193.008847	75.440	-34.9346
194.407468	74.500	-35.5384
195.816225	73.680	-36.3229
197.235190	73.029	-36.6085
198.664438	72.525	-35.6934
200.104042	72.069	-33.5699
201.554078	71.543	-30.7043
203.014622	70.909	-27.3656
204.485750	70.276	-23.4204
205.967538	69.836	-18.7649
207.460064	69.682	-13.8679
208.963405	69.713	-9.4329
210.477640	69.773	-5.5695
212.002848	69.834	-1.7158
213.539108	69.982	2.8268
215.086500	70.294	8.0851
216.645105	70.750	13.1143
218.215005	71.251	16.8084
219.796281	71.692	18.9184
221.389015	72.008	20.0914
222.993292	72.192	21.3206
224.609193	72.307	23.4474
226.236804	72.461	26.8654
227.876209	72.754	31.3340
229.527494	73.204	36.1787
231.190745	73.747	40.7134
232.866048	74.288	44.6288
234.553491	74.763	48.0150
236.253163	75.169	51.1462
237.965150	75.545	54.2520
239.689544	75.934	57.4990
241.426433	76.360	61.0785
243.175909	76.824	65.1455
244.938062	77.319	69.7491
246.712984	77.839	74.7878
248.500768	78.392	80.0020
250.301507	78.982	85.0878
252.115295	79.600	89.8874
253.942226	80.232	94.4454
255.782396	80.867	98.8561
257.635901	81.498	103.1226
259.502837	82.109	107.1741
261.383301	82.686	110.9441
263.277392	83.219	114.4287
265.185209	83.710	117.6491
267.106850	84.160	120.7012
269.042417	84.571	123.7670
270.992009	84.942	127.0482
272.955729	85.279	130.6840
274.933678	85.598	134.6572
276.925961	85.917	138.8427
278.932681	86.250	143.0549
280.953942	86.596	147.1235
282.989850	86.944	150.9341
285.040511	87.276	154.4728
287.106032	87.577	157.8358
289.186521	87.844	161.1138
291.282086	88.080	164.3492
293.392836	88.286	167.5195
295.518881	88.459	170.6073
297.660333	88.585	173.6133
299.817302	88.650	176.5850
301.989902	88.644	179.6021
304.178245	88.563	-177.2433
306.382446	88.410	-173.8425
308.602620	88.197	-170.0870
310.838882	87.941	-165.9495
313.091348	87.656	-161.4757
315.360137	87.347	-156.7042
317.645367	87.022	-151.6847
319.947156	86.678	-146.5116
322.265625	86.300	-141.2142
324.600895	85.876	-135.6008
326.953086	85.414	-129.3968
329.322323	84.937	-122.5861
331.708729	84.442	-115.4462
334.112427	83.883	-108.0770
336.533543	83.224	-99.9071
338.972204	82.526	-89.8970
341.428536	81.970	-77.5187
343.902668	81.753	-63.7872
346.394729	81.891	-50.6575
348.904848	82.222	-39.1447
351.433156	82.584	-28.9777
353.979786	82.918	-19.4724
356.544869	83.242	-10.1774
359.128540	83.597	-1.0118
361.730934	84.000	7.8282
364.352185	84.429	16.1292
366.992431	84.835	23.8871
369.651810	85.177	31.3588
372.330459	85.441	38.8364
375.028519	85.638	46.5042
377.746130	85.793	54.4074
380.483434	85.933	62.4731
383.240574	86.089	70.5471
386.017693	86.283	78.3892
388.814937	86.526	85.7431
391.632450	86.802	92.4590
394.470380	87.075	98.5461
397.328875	87.297	104.1766
400.208084	87.425	109.6080
403.108157	87.438	115.1132
406.029245	87.349	120.9232
408.971500	87.196	127.2078
411.935076	87.034	133.9907
414.920127	86.914	141.0461
417.926810	86.854	147.8499
420.955280	86.818	153.7693
424.005695	86.718	158.4419
427.078215	86.450	161.9446
430.173000	85.934	164.7126
433.290211	85.128	167.3508
436.430010	84.023	170.3579
439.592562	82.630	174.0071
442.778031	80.942	178.2435
445.986583	78.905	-177.3210
449.218386	76.349	-173.4426
452.473607	72.905	-171.7161
455.752418	68.079	-179.7379
459.054987	65.966	78.7358
462.381489	70.793	48.0122
465.732096	74.729	46.7330
469.106983	77.425	49.3098
472.506325	79.360	53.3414
475.930301	80.808	58.2618
479.379088	81.930	63.8831
482.852867	82.830	70.0620
486.351817	83.570	76.6305
489.876123	84.191	83.3970
493.425968	84.708	90.2329
497.001536	85.126	97.0839
500.603014	85.446	103.9904
504.230589	85.680	111.0385
507.884452	85.845	118.2716
511.564792	85.960	125.6547
515.271802	86.035	133.0632
519.005673	86.065	140.3564
522.766602	86.031	147.4338
526.554785	85.911	154.2808
530.370418	85.679	160.9518
534.213700	85.315	167.5214
538.084833	84.801	174.0891
541.984018	84.118	-179.2839
545.911457	83.245	-172.5115
549.867357	82.155	-165.5006
553.851922	80.812	-158.2018
557.865362	79.153	-150.7109
561.907884	77.043	-143.3059
565.979700	74.202	-136.5502
570.081022	70.057	-132.0437
574.212064	65.198	-155.5020
578.373042	68.546	78.1635
582.564171	73.480	79.6498
586.785671	76.824	84.9789
591.037762	79.201	91.4064
595.320665	80.991	98.4166
599.634604	82.393	105.7544
603.979804	83.510	113.2809
608.356491	84.403	120.9427
612.764893	85.113	128.7368
617.205240	85.666	136.6587
621.677763	86.082	144.7184
626.182696	86.375	152.9697
630.720274	86.566	161.5011
635.290733	86.683	170.3853
639.894312	86.762	179.5326
644.531250	86.819	-171.3650
649.201789	86.847	-162.6997
653.906173	86.801	-154.7963
658.644647	86.618	-147.8002
663.417457	86.235	-141.6195
668.224854	85.596	-136.0269
673.067086	84.668	-130.7567
677.944408	83.430	-125.6959
682.857073	81.865	-121.1260
687.805336	79.930	-118.0708
692.789457	77.559	-119.0018
697.809695	74.888	-129.7400
702.866312	73.327	-159.2477
707.959571	74.839	169.2111
713.089738	77.561	155.9150
718.257080	79.901	153.0427
723.461867	81.689	154.9031
728.704370	83.048	159.2762
733.984862	84.094	165.0686
739.303619	84.903	171.6030
744.660918	85.504	178.4304
750.057038	85.900	-174.6467
755.492260	86.088	-167.6205
760.966869	86.069	-160.3712
766.481148	85.855	-152.7633
772.035387	85.458	-144.7777
777.629873	84.885	-136.4454
783.264900	84.124	-127.8535
788.940760	83.149	-119.0042
794.657750	81.926	-109.8490
800.416168	80.402	-100.3367
806.216313	78.481	-90.5546
812.058489	75.950	-80.6993
817.943000	72.351	-70.6990
823.870152	67.105	-57.6058
829.840255	66.211	112.7173
835.853619	71.451	127.5437
841.910559	75.118	137.0068
848.011390	77.569	146.2847
854.156430	79.337	155.6294
860.346000	80.673	164.6758
866.580422	81.681	173.1489
872.860020	82.398	-178.9731
879.185124	82.846	-171.5657
885.556062	83.032	-164.5095
891.973166	82.959	-157.6565
898.436771	82.629	-150.6809
904.947215	82.072	-143.1807
911.504835	81.350	-134.8140
918.109975	80.545	-125.5493
924.762978	79.734	-115.6619
931.464192	78.970	-105.5537
938.213966	78.278	-95.5776
945.012651	77.670	-86.0020
951.860602	77.146	-77.0115
958.758176	76.695	-68.7478
965.705733	76.291	-61.2292
972.703635	75.916	-54.2827
979.752246	75.570	-47.7156
986.851935	75.267	-41.4846
994.003071	75.041	-35.6824
