* Measurement data measured by REW V5.31.2
* Source: EXCL: Analogue 1 + 2 (Focusrite USB Audio), LINE_IN (Master Volume), L, volume: 1.000
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 30, 2024 5:55:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: sub raw onax
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
94.116211	81.318	158.5750
94.482422	81.325	158.4518
94.848633	81.305	158.2994
95.214844	81.279	158.0829
95.581055	81.265	157.7895
95.947266	81.266	157.4559
96.313477	81.269	157.1611
96.679688	81.273	156.9821
97.045898	81.267	156.9359
97.412109	81.267	156.9534
97.778320	81.281	156.9100
98.144531	81.303	156.7011
98.510742	81.317	156.3109
98.876953	81.305	155.8245
99.243164	81.239	155.3799
99.609375	81.159	155.0958
99.975586	81.079	155.0115
100.341797	81.010	155.0710
100.708008	80.948	155.1681
101.074219	80.883	155.2096
101.440430	80.814	155.1683
101.806641	80.751	155.0897
102.172852	80.703	155.0602
102.539062	80.669	155.1492
102.905273	80.649	155.3608
103.271484	80.634	155.6222
103.637695	80.614	155.8225
104.003906	80.581	155.8781
104.370117	80.526	155.7857
104.736328	80.437	155.6378
105.102539	80.333	155.5804
105.468750	80.230	155.7444
105.834961	80.149	156.1797
106.201172	80.107	156.8300
106.567383	80.111	157.5553
106.933594	80.151	158.1869
107.299805	80.207	158.5789
107.666016	80.263	158.6440
108.032227	80.292	158.3738
108.398438	80.285	157.8576
108.764648	80.247	157.2817
109.130859	80.186	156.8854
109.497070	80.112	156.8616
109.863281	80.038	157.2487
110.229492	79.973	157.8849
110.595703	79.921	158.4824
110.961914	79.883	158.7880
111.328125	79.851	158.7312
111.694336	79.819	158.4623
112.060547	79.782	158.2477
112.426758	79.738	158.3051
112.792969	79.693	158.6746
113.159180	79.659	159.2068
113.525391	79.643	159.6599
113.891602	79.640	159.8463
114.257812	79.631	159.7375
114.624023	79.591	159.4730
114.990234	79.509	159.2834
115.356445	79.398	159.3779
115.722656	79.298	159.8332
116.088867	79.245	160.5243
116.455078	79.252	161.1685
116.821289	79.288	161.4910
117.187500	79.305	161.4048
117.553711	79.270	161.0702
117.919922	79.184	160.8080
118.286133	79.082	160.9113
118.652344	78.997	161.4523
119.018555	78.944	162.2177
119.384766	78.899	162.8707
119.750977	78.827	163.2087
120.117188	78.713	163.3105
120.483398	78.572	163.4575
120.849609	78.446	163.9002
121.215820	78.372	164.6293
121.582031	78.362	165.3607
121.948242	78.392	165.7766
122.314453	78.426	165.8052
122.680664	78.428	165.6893
123.046875	78.388	165.8104
123.413086	78.297	166.4201
123.779297	78.165	167.4728
124.145508	78.016	168.6612
124.511719	77.880	169.6306
124.877930	77.782	170.2186
125.244141	77.727	170.5458
125.610352	77.701	170.9016
125.976562	77.680	171.5410
126.342773	77.643	172.5627
126.708984	77.596	173.9147
127.075195	77.565	175.4622
127.441406	77.572	177.0472
127.807617	77.624	178.5198
128.173828	77.720	179.7531
128.540039	77.854	-179.3372
128.906250	78.023	-178.7776
129.272461	78.212	-178.5443
129.638672	78.386	-178.5981
130.004883	78.507	-178.9214
130.371094	78.528	-179.5078
130.737305	78.447	179.7010
131.103516	78.313	178.8921
131.469727	78.200	178.3684
131.835938	78.163	178.3848
132.202148	78.201	178.9305
132.568359	78.259	179.6996
132.934570	78.272	-179.6980
133.300781	78.207	-179.4800
133.666992	78.087	-179.5627
134.033203	77.986	-179.6246
134.399414	77.958	-179.3486
134.765625	78.005	-178.6925
135.131836	78.079	-177.9278
135.498047	78.114	-177.4146
135.864258	78.072	-177.3389
136.230469	77.964	-177.6041
136.596680	77.833	-177.9011
136.962891	77.726	-177.9109
137.329102	77.661	-177.5095
137.695312	77.622	-176.8152
138.061523	77.579	-176.0460
138.427734	77.513	-175.3451
138.793945	77.433	-174.7169
139.160156	77.367	-174.0913
139.526367	77.339	-173.4301
139.892578	77.346	-172.7805
140.258789	77.356	-172.2373
140.625000	77.336	-171.8630
140.991211	77.276	-171.6448
141.357422	77.197	-171.4990
141.723633	77.136	-171.3102
142.089844	77.116	-170.9752
142.456055	77.129	-170.4481
142.822266	77.142	-169.7636
143.188477	77.121	-169.0326
143.554688	77.053	-168.4033
143.920898	76.950	-167.9899
144.287109	76.838	-167.7860
144.653320	76.735	-167.6261
145.019531	76.646	-167.2562
145.385742	76.578	-166.4946
145.751953	76.532	-165.3716
146.118164	76.512	-164.1384
146.484375	76.515	-163.1255
146.850586	76.528	-162.5453
147.216797	76.531	-162.3845
147.583008	76.507	-162.4495
147.949219	76.457	-162.5002
148.315430	76.394	-162.3672
148.681641	76.338	-161.9942
149.047852	76.296	-161.4138
149.414062	76.265	-160.7020
149.780273	76.236	-159.9517
150.146484	76.202	-159.2601
150.512695	76.160	-158.6985
150.878906	76.105	-158.2631
151.245117	76.031	-157.8469
151.611328	75.940	-157.2825
151.977539	75.847	-156.4465
152.343750	75.779	-155.3661
152.709961	75.767	-154.2366
153.076172	75.823	-153.3180
153.442383	75.931	-152.7708
153.808594	76.052	-152.5753
154.174805	76.133	-152.5853
154.541016	76.136	-152.6394
154.907227	76.049	-152.6267
155.273438	75.896	-152.4792
155.639648	75.729	-152.1348
156.005859	75.609	-151.5330
156.372070	75.573	-150.6678
156.738281	75.607	-149.6383
157.104492	75.648	-148.6166
157.470703	75.641	-147.7512
157.836914	75.557	-147.0873
158.203125	75.423	-146.5597
158.569336	75.308	-146.0497
158.935547	75.271	-145.4789
159.301758	75.321	-144.8671
159.667969	75.403	-144.2999
160.034180	75.445	-143.8446
160.400391	75.405	-143.5042
160.766602	75.301	-143.2328
161.132812	75.193	-142.9772
161.499023	75.134	-142.6985
161.865234	75.123	-142.3572
162.231445	75.117	-141.8820
162.597656	75.066	-141.1757
162.963867	74.959	-140.1843
163.330078	74.837	-138.9884
163.696289	74.760	-137.8318
164.062500	74.764	-137.0059
164.428711	74.828	-136.6377
164.794922	74.896	-136.5903
165.161133	74.913	-136.5573
165.527344	74.861	-136.2601
165.893555	74.763	-135.6069
166.259766	74.677	-134.7394
166.625977	74.641	-133.9310
166.992188	74.653	-133.3875
167.358398	74.679	-133.1115
167.724609	74.671	-132.9341
168.090820	74.601	-132.6526
168.457031	74.475	-132.1492
168.823242	74.333	-131.4319
169.189453	74.227	-130.6057
169.555664	74.196	-129.7991
169.921875	74.240	-129.0873
170.288086	74.326	-128.4592
170.654297	74.398	-127.8396
171.020508	74.421	-127.1432
171.386719	74.401	-126.3395
171.752930	74.379	-125.5024
172.119141	74.394	-124.8094
172.485352	74.455	-124.4416
172.851562	74.524	-124.4401
173.217773	74.543	-124.6425
173.583984	74.478	-124.7570
173.950195	74.348	-124.5261
174.316406	74.222	-123.9006
174.682617	74.170	-123.1128
175.048828	74.205	-122.5189
175.415039	74.283	-122.2898
175.781250	74.322	-122.2533
176.147461	74.276	-122.0268
176.513672	74.173	-121.3032
176.879883	74.101	-120.1183
177.246094	74.147	-118.9087
177.612305	74.319	-118.2062
177.978516	74.539	-118.2084
178.344727	74.700	-118.6791
178.710938	74.734	-119.2057
179.077148	74.645	-119.4905
179.443359	74.496	-119.5015
179.809570	74.370	-119.4249
180.175781	74.312	-119.4443
180.541992	74.309	-119.5179
180.908203	74.327	-119.3917
181.274414	74.345	-118.8467
181.640625	74.382	-117.9623
182.006836	74.469	-117.1658
182.373047	74.610	-116.9834
182.739258	74.766	-117.6660
183.105469	74.887	-119.0389
183.471680	74.935	-120.6533
183.837891	74.907	-122.0715
184.204102	74.835	-123.0931
184.570312	74.760	-123.8344
184.936523	74.708	-124.6177
185.302734	74.668	-125.7371
185.668945	74.622	-127.2789
186.035156	74.553	-129.1229
186.401367	74.458	-131.0895
186.767578	74.341	-133.0998
187.133789	74.201	-135.2377
187.500000	74.023	-137.6714
187.866211	73.787	-140.5034
188.232422	73.469	-143.6659
188.598633	73.050	-146.9362
188.964844	72.516	-150.0499
189.331055	71.850	-152.8207
189.697266	71.042	-155.1627
190.063477	70.088	-156.9883
190.429688	68.997	-158.0394
190.795898	67.796	-157.7966
191.162109	66.548	-155.6146
191.528320	65.363	-151.1569
191.894531	64.374	-144.9139
192.260742	63.643	-138.1498
